label,country,from,maximum
DE_sink_el_load,DE,DE_bus_el,79063
AT_sink_el_load,AT,AT_bus_el,10705
BE_sink_el_load,BE,BE_bus_el,13611
CH_sink_el_load,CH,CH_bus_el,10911
CZ_sink_el_load,CZ,CZ_bus_el,10812
DK1_sink_el_load,DK1,DK1_bus_el,6403
DK2_sink_el_load,DK2,DK2_bus_el,2510
FR_sink_el_load,FR,FR_bus_el,93696
NL_sink_el_load,NL,NL_bus_el,18984
NO1_sink_el_load,NO1,NO1_bus_el,7615
NO2_sink_el_load,NO2,NO2_bus_el,7169
NO3_sink_el_load,NO3,NO3_bus_el,5603
NO4_sink_el_load,NO4,NO4_bus_el,3818
NO5_sink_el_load,NO5,NO5_bus_el,3302
PL_sink_el_load,PL,PL_bus_el,26046
SE1_sink_el_load,SE1,SE1_bus_el,3019
SE2_sink_el_load,SE2,SE2_bus_el,4226
SE3_sink_el_load,SE3,SE3_bus_el,16609
SE4_sink_el_load,SE4,SE4_bus_el,4762
