Datum;Preis
2023-01-02;77.714
2023-01-03;78.27
2023-01-04;72.488
2023-01-05;73.545
2023-01-06;73.995
2023-01-09;76.095
2023-01-10;74.25
2023-01-11;72.108
2023-01-12;70.09
2023-01-13;67.868
2023-01-16;61.338
2023-01-17;63.52
2023-01-18;66.46
2023-01-19;66.241
2023-01-20;70.657
2023-01-23;71.833
2023-01-24;64.7
2023-01-25;62.822
2023-01-26;62.781
2023-01-27;63.013
2023-01-30;63.66
2023-01-31;65.298
2023-02-01;66.947
2023-02-02;65.718
2023-02-03;66.733
2023-02-06;65.317
2023-02-07;64.002
2023-02-08;62.407
2023-02-09;61.465
2023-02-10;61.525
2023-02-13;60.093
2023-02-14;60.56
2023-02-15;61.14
2023-02-16;60.284
2023-02-17;58.614
2023-02-20;58.093
2023-02-21;56.586
2023-02-22;57.325
2023-02-23;57.965
2023-02-24;58.666
2023-02-27;56.383
2023-02-28;55.3
2023-03-01;55.075
2023-03-02;54.369
2023-03-03;53.009
2023-03-06;50.73
2023-03-07;51.132
2023-03-08;51.344
2023-03-09;51.292
2023-03-10;57.742
2023-03-13;57.784
2023-03-14;50.899
2023-03-15;51.125
2023-03-16;51.521
2023-03-17;51.819
2023-03-20;49.325
2023-03-21;51.639
2023-03-22;50.447
2023-03-23;52.382
2023-03-24;51.55
2023-03-27;51.998
2023-03-28;52.699
2023-03-29;52.623
2023-03-30;53.473
2023-03-31;58.201
2023-04-03;62.347
2023-04-04;60.361
2023-04-05;57.473
2023-04-06;55.79
2023-04-07;55.629
2023-04-10;57.01
2023-04-11;57.761
2023-04-12;58.662
2023-04-13;57.937
2023-04-14;57.365
2023-04-17;57.517
2023-04-18;58.187
2023-04-19;56.892
2023-04-20;56.57
2023-04-21;56.095
2023-04-24;55.581
2023-04-25;56.552
2023-04-26;56.667
2023-04-27;58.595
2023-04-28;58.515
2023-05-01;57.306
2023-05-02;58.071
2023-05-03;56.967
2023-05-04;56.225
2023-05-05;56.054
2023-05-08;56.813
2023-05-09;57.591
2023-05-10;57.617
2023-05-11;57.478
2023-05-12;55.736
2023-05-15;52.378
2023-05-16;51.117
2023-05-17;52.418
2023-05-18;51.406
2023-05-19;51.901
2023-05-22;51.897
2023-05-23;52.186
2023-05-24;51.896
2023-05-25;48.212
2023-05-26;45.889
2023-05-29;45.821
2023-05-30;45.056
2023-05-31;46.129
2023-06-01;44.821
2023-06-02;44.535
2023-06-05;46.212
2023-06-06;44.192
2023-06-07;44.123
2023-06-08;45.235
2023-06-09;48.106
2023-06-12;48.801
2023-06-13;51.289
2023-06-14;54.657
2023-06-15;57.481
2023-06-16;52.726
2023-06-19;52.092
2023-06-20;55.339
2023-06-21;54.77
2023-06-22;53.418
2023-06-23;52.346
2023-06-26;52.118
2023-06-27;52.175
2023-06-28;51.7
2023-06-29;52.136
2023-06-30;54.255
2023-07-03;52.331
2023-07-04;53.157
2023-07-05;54.245
2023-07-06;54.116
2023-07-07;55.613
2023-07-10;52.899
2023-07-11;50.69
2023-07-12;49.351
2023-07-13;48.9
2023-07-14;49.79
2023-07-17;49.164
2023-07-18;51.333
2023-07-19;52.919
2023-07-20;54.086
2023-07-21;53.686
2023-07-24;54.458
2023-07-25;55.512
2023-07-26;53.874
2023-07-27;53.306
2023-07-28;49.723
2023-07-31;50.903
2023-08-01;51.124
2023-08-02;50.646
2023-08-03;50.931
2023-08-04;49.119
2023-08-07;50.986
2023-08-08;51.433
2023-08-09;54.064
2023-08-10;53.148
2023-08-11;53.184
2023-08-14;53.054
2023-08-15;56.612
2023-08-16;56.294
2023-08-17;56.032
2023-08-18;56.144
2023-08-21;58.021
2023-08-22;59.107
2023-08-23;56.717
2023-08-24;52.047
2023-08-25;53.229
2023-08-28;55.805
2023-08-29;54.223
2023-08-30;55.533
2023-08-31;54.531
2023-09-01;53.582
2023-09-04;52.804
2023-09-05;53.419
2023-09-06;50.166
2023-09-07;51.968
2023-09-08;51.921
2023-09-11;52.848
2023-09-12;52.388
2023-09-13;53.453
2023-09-14;52.783
2023-09-15;53.043
2023-09-18;51.881
2023-09-19;51.937
2023-09-20;51.239
2023-09-21;51.039
2023-09-22;51.136
2023-09-25;52.672
2023-09-26;50.089
2023-09-27;49.615
2023-09-28;48.513
2023-09-29;48.444
2023-10-02;47.212
2023-10-03;45.217
2023-10-04;46.118
2023-10-05;45.241
2023-10-06;46.099
2023-10-09;49.304
2023-10-10;53.169
2023-10-11;51.814
2023-10-12;55.731
2023-10-13;57.189
2023-10-16;54.546
2023-10-17;54.586
2023-10-18;56.803
2023-10-19;56.662
2023-10-20;57.378
2023-10-23;57.382
2023-10-24;55.706
2023-10-25;54.933
2023-10-26;54.86
2023-10-27;54.934
2023-10-30;54.655
2023-10-31;50.572
2023-11-01;50.086
