energy_carrier;unit;opex;source
uranium;EUR/MWh;5;Assumption based on Pietzcker et al. 2021, p. 3
biomass;EUR/MWh;4;Assumption based on Kost et al. 2021, p. 12
water;EUR/MWh;2;Assumption
waste;EUR/MWh;3;Assumption based on Pietzcker et al. 2021, p. 3
solarthermal;EUR/MWh;2;Assumption
otherRES;EUR/MWh;2;Assumption
otherfossil;EUR/MWh;5;Assumption
mixedfuels;EUR/MWh;5;Assumption
lignite;EUR/MWh;7;Assumption based on Kost et al. 2021, p. 12, Pietzcker 2021 et al. p. 3, mean value
hardcoal;EUR/MWh;6;Assumption based on Kost et al. 2021, p. 12, Pietzcker 2021 et al. p. 3, mean value + 1
natgas;EUR/MWh;4;Assumption based on Kost et al. 2021, p. 12, Pietzcker 2021 et al. p. 3
oil;EUR/MWh;3;Assumption based on Kost et al. 2021, p. 12
hydrogen;EUR/MWh;4;Assumption (same as natgas)
