"Week","Stored Energy Value 2016 [MWh] - BZN|CH","Stored Energy Value 2017 [MWh] - BZN|CH","Stored Energy Value 2018 [MWh] - BZN|CH","Stored Energy Value 2019 [MWh] - BZN|CH"
"Week 1","2803629","3019019","3206256","4656491"
"Week 2","2747969","2554620","3240105","4420007"
"Week 3","2526630","2168668","3068744","4154307"
"Week 4","2302026","1774319","2883280","3693327"
"Week 5","2155600","1525243","2618412","3288999"
"Week 6","2050503","1476186","2418353","2971002"
"Week 7","1898774","1357895","2119835","2785098"
"Week 8","1739999","1225675","1874184","2575417"
"Week 9","1504143","1135885","1375848","2383139"
"Week 10","1430096","1060341","1007114","2214801"
"Week 11","1229689","1012887","862804","2260666"
"Week 12","1101230","931169","762772","2154299"
"Week 13","955563","837654","699722","1514409"
"Week 14","984370","785855","631295","1773596"
"Week 15","902951","758588","648946","1576893"
"Week 16","858987","733728","635442","1446670"
"Week 17","758066","627492","813376","1546552"
"Week 18","692542","531587","900624","1535382"
"Week 19","718732","543545","1146012","1415078"
"Week 20","744179","681775","1362524","1377243"
"Week 21","819370","905588","1547200","1309645"
"Week 22","1113900","1215440","1738222","1472698"
"Week 23","1400240","1764581","2204043","1760690"
"Week 24","1736908","2024243","2738169","2469985"
"Week 25","2072971","2434533","3187768","3177740"
"Week 26","2438409","2846677","3533260","3818985"
"Week 27","2968796","3092686","3765720","4526333"
"Week 28","3392813","3347046","4103688","4834229"
"Week 29","3808888","3558889","4393607","5059643"
"Week 30","3951202","3840245","4526576","5222251"
"Week 31","4487727","4277492","4595338","5465637"
"Week 32","4785600","4552751","4978538","5598789"
"Week 33","5172282","4815718","5244926","5981957"
"Week 34","5307532","5088121","5386749","6204067"
"Week 35","5485267","5110399","5770427","6162148"
"Week 36","5612433","5403820","5858997","6218503"
"Week 37","5732197","5470263","5946736","6178006"
"Week 38","5714542","5377642","6005673","6008842"
"Week 39","5580902","5345709","5742022","6196739"
"Week 40","5407635","5369709","6053548","6347495"
"Week 41","5232041","5460445","4728144","6437553"
"Week 42","5160475","5439667","5980659","6437555"
"Week 43","4869673","5166334","5433047","6572889"
"Week 44","4840874","5038748","5795656","6532757"
"Week 45","4763012","4861392","5814382","6478401"
"Week 46","4532703","4599266","5838043","6329661"
"Week 47","4512933","4282461","5630359","6025063"
"Week 48","4453464","4018916","5371411","5850872"
"Week 49","4179919","3596021","5301983","5632139"
"Week 50","3811419","3209971","5125757","5373795"
"Week 51","3318566","3014097","4800968","5123496"
"Week 52","3153098","2957665","4760256","5106276"
