"Week","Stored Energy Value 2016 [MWh] - Italy (IT)","Stored Energy Value 2017 [MWh] - Italy (IT)","Stored Energy Value 2018 [MWh] - Italy (IT)"
"Week 1","3374509","2863629","2983838"
"Week 2","3477282","2796794","2954809"
"Week 3","3417821","2597249","2897498"
"Week 4","3294486","2528181","2804976"
"Week 5","3132372","2325391","2696788"
"Week 6","3088368","2368472","2606824"
"Week 7","3097336","2345618","2523214"
"Week 8","3071684","2119976","2439964"
"Week 9","2912456","2235214","2342729"
"Week 10","2877488","2232200","2336355"
"Week 11","2812377","2243886","2398007"
"Week 12","2790665","2178201","2427766"
"Week 13","2713632","2171412","2431642"
"Week 14","2699586","2151520","2395419"
"Week 15","2747284","2151520","2392053"
"Week 16","2783594","2142510","2471908"
"Week 17","2774551","2269308","2618231"
"Week 18","2821558","2207607","2771515"
"Week 19","2752590","2246873","3028291"
"Week 20","2903655","2372050","3181651"
"Week 21","3005766","2541644","3304250"
"Week 22","2932447","2741695","3601830"
"Week 23","3218069","2876456","3877704"
"Week 24","3660455","3302722","4095425"
"Week 25","3902844","3469528","4284428"
"Week 26","4230585","3571075","4352254"
"Week 27","4327272","3590722","4358876"
"Week 28","4397487","3775123","4394693"
"Week 29","4408894","3784178","4389890"
"Week 30","4318213","3769144","4360189"
"Week 31","4374477","3651815","4247874"
"Week 32","4373600","3678478","4216926"
"Week 33","4389058","3702793","4161624"
"Week 34","4407545","3723749","4131880"
"Week 35","4374239","3626203","4098241"
"Week 36","4294015","3646282","4046281"
"Week 37","4272130","3647431","3948743"
"Week 38","4133212","3628901","3868229"
"Week 39","4053335","3536488","3783062"
"Week 40","3954214","3442115","3675600"
"Week 41","3864829","3411510","3613699"
"Week 42","3792080","3330403","3534722"
"Week 43","3773818","3269566","3529871"
"Week 44","3689160","3228481","3746214"
"Week 45","3719724","3162275","3860475"
"Week 46","3711690","3109341","3869622"
"Week 47","3623384","3060486","3756103"
"Week 48","3533090","3008002","3656264"
"Week 49","3533090","2958478","3578689"
"Week 50","3436680","2972148","3439210"
"Week 51","3436680","2995033","3318241"
"Week 52","3098054","2968208","3236505"
