"Week","Stored Energy Value 2016 [MWh] - BZN|SE3","Stored Energy Value 2017 [MWh] - BZN|SE3","Stored Energy Value 2018 [MWh] - BZN|SE3"
"Week 1","1889000","1472000","1967000"
"Week 2","1752000","1442000","1875000"
"Week 3","1627000","1366000","1789000"
"Week 4","1657000","1293000","1774000"
"Week 5","1620000","1238000","1730000"
"Week 6","1597000","1141000","1603000"
"Week 7","1492000","1076000","1471000"
"Week 8","1377000","1048000","1347000"
"Week 9","1288000","1047000","1210000"
"Week 10","1183000","977000","1078000"
"Week 11","1133000","963000","963000"
"Week 12","1085000","944000","850000"
"Week 13","1106000","981000","763000"
"Week 14","1254000","1078000","738000"
"Week 15","1329000","1163000","727000"
"Week 16","1406000","1168000","920000"
"Week 17","1449000","1164000","1312000"
"Week 18","1521000","1266000","1645000"
"Week 19","1668000","1356000","2076000"
"Week 20","1757000","1527000","2198000"
"Week 21","2039000","1661000","2205000"
"Week 22","2101000","1700000","2143000"
"Week 23","2057000","1755000","2071000"
"Week 24","2010000","1811000","2053000"
"Week 25","1978000","1808000","2039000"
"Week 26","1957000","1794000","1991000"
"Week 27","1932000","1790000","1923000"
"Week 28","1945000","1793000","1872000"
"Week 29","1903000","1803000","1826000"
"Week 30","1869000","1805000","1788000"
"Week 31","1870000","1828000","1742000"
"Week 32","1924000","1897000","1699000"
"Week 33","1925000","1956000","1663000"
"Week 34","1923000","1960000","1646000"
"Week 35","1937000","1951000","1608000"
"Week 36","1878000","1921000","1573000"
"Week 37","1831000","1981000","1594000"
"Week 38","1781000","1968000","1604000"
"Week 39","1783000","1920000","1584000"
"Week 40","1728000","1961000","1574000"
"Week 41","1644000","1956000","1581000"
"Week 42","1619000","2016000","1571000"
"Week 43","1586000","2044000","1553000"
"Week 44","1592000","2032000","1572000"
"Week 45","1516000","2048000","1606000"
"Week 46","1564000","2039000","1706000"
"Week 47","1646000","2046000","1668000"
"Week 48","1606000","2061000","1631000"
"Week 49","1609000","2063000","1678000"
"Week 50","1538000","2023000","1606000"
"Week 51","1524000","1990000","1542000"
"Week 52","1538000","1986000","1501000"
