labels;wind_from;wind_to;load_from;load_to;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030
CH_link_DE;0;7000;0;9999999;2000;2000;2000;2000;3100;3100;3100;3100;3400;3400;3400;3400;3400;3400;3400;3400
CH_link_DE;7001;11000;0;9999999;1800;1800;1800;1800;2900;2900;2900;2900;3200;3200;3200;3200;3200;3200;3200;3200
CH_link_DE;11001;14000;0;9999999;1400;1400;1400;1400;2500;2500;2500;2500;2800;2800;2800;2800;2800;2800;2800;2800
CH_link_DE;14001;18000;0;9999999;1200;1200;1200;1200;2300;2300;2300;2300;2600;2600;2600;2600;2600;2600;2600;2600
CH_link_DE;18001;99999;0;9999999;800;800;800;800;1900;1900;1900;1900;2200;2200;2200;2200;2200;2200;2200;2200
DK1_link_DE;0;500;0;9999;1500;1500;1500;1500;1500;1500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DK1_link_DE;0;500;10000;16000;1050;1050;1050;1050;1050;1100;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DK1_link_DE;0;500;16001;9999999;950;950;950;950;950;1100;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DK1_link_DE;501;1000;0;9999;1500;1500;1500;1500;1500;1500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DK1_link_DE;501;1000;10000;16000;1100;1100;1100;1100;1100;1100;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DK1_link_DE;501;1000;16001;9999999;1000;1000;1000;1000;1000;1100;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DK1_link_DE;1001;2000;0;9999;1500;1500;1500;1500;1500;1500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DK1_link_DE;1001;2000;10000;16000;1200;1200;1200;1200;1200;1200;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DK1_link_DE;1001;2000;16001;9999999;1100;1100;1100;1100;1100;1100;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DK1_link_DE;2001;3000;0;9999;1500;1500;1500;1500;1500;1500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DK1_link_DE;2001;3000;10000;16000;1300;1300;1300;1300;1300;1300;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DK1_link_DE;2001;3000;16001;9999999;1200;1200;1200;1200;1200;1200;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DK1_link_DE;3001;4000;0;9999;1500;1500;1500;1500;1500;1500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DK1_link_DE;3001;4000;10000;16000;1400;1400;1400;1400;1400;1400;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DK1_link_DE;3001;4000;16001;9999999;1300;1300;1300;1300;1300;1300;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DK1_link_DE;4001;5000;0;9999;1500;1500;1500;1500;1500;1500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DK1_link_DE;4001;5000;10000;16000;1500;1500;1500;1500;1500;1500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DK1_link_DE;4001;5000;16001;9999999;1400;1400;1400;1400;1400;1400;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DK1_link_DE;5001;99999;0;9999999;1500;1500;1500;1500;1500;1500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
FR_link_DE;0;7000;0;9999999;3000;3000;3000;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600
FR_link_DE;7001;11000;0;9999999;2500;2500;2500;3100;3100;3100;3100;3100;3100;3100;3100;3100;3100;3100;3100;3100
FR_link_DE;11001;14000;0;9999999;1800;1800;1800;2400;2400;2400;2400;2400;2400;2400;2400;2400;2400;2400;2400;2400
FR_link_DE;14001;18000;0;9999999;1500;1500;1500;2100;2100;2100;2100;2100;2100;2100;2100;2100;2100;2100;2100;2100
FR_link_DE;18001;99999;0;9999999;1200;1200;1200;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800
NL_link_DE;0;7000;0;9999999;2449;2449;2449;2449;3949;4249;4249;4249;4249;4249;4249;4249;4249;4249;4249;4249
NL_link_DE;7001;11000;0;9999999;2449;2449;2449;2449;3949;4249;4249;4249;4249;4249;4249;4249;4249;4249;4249;4249
NL_link_DE;11001;14000;0;9999999;2449;2449;2449;2449;3949;4249;4249;4249;4249;4249;4249;4249;4249;4249;4249;4249
NL_link_DE;14001;18000;0;9999999;1800;1800;1800;1800;3300;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600;3600
NL_link_DE;18001;99999;0;9999999;1468;1468;1468;1468;2968;3268;3268;3268;3268;3268;3268;3268;3268;3268;3268;3268
DE_link_CH;0;7000;0;9999999;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000
DE_link_CH;7001;11000;0;9999999;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000
DE_link_CH;11001;14000;0;9999999;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000
DE_link_CH;14001;18000;0;9999999;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000
DE_link_CH;18001;99999;0;9999999;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000;4000
DE_link_DK1;0;500;0;9999;1450;1450;1450;1450;1450;1450;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE_link_DK1;0;500;10000;16000;1500;1500;1500;1500;1500;1500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE_link_DK1;0;500;16001;9999999;1600;1600;1600;1600;1600;1600;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE_link_DK1;501;1000;0;9999;1100;1100;1100;1100;1100;1100;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE_link_DK1;501;1000;10000;16000;1150;1150;1150;1150;1150;1150;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE_link_DK1;501;1000;16001;9999999;1300;1300;1300;1300;1300;1300;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE_link_DK1;1001;2000;0;9999;800;800;800;800;900;1100;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE_link_DK1;1001;2000;10000;16000;850;850;850;850;900;1100;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE_link_DK1;1001;2000;16001;9999999;950;950;950;950;950;1100;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE_link_DK1;2001;3000;0;9999;600;600;600;700;900;1100;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE_link_DK1;2001;3000;10000;16000;650;650;650;700;900;1100;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE_link_DK1;2001;3000;16001;9999999;750;750;750;750;900;1100;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE_link_DK1;3001;4000;0;9999;200;200;200;700;900;1100;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE_link_DK1;3001;4000;10000;16000;250;250;250;700;900;1100;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE_link_DK1;3001;4000;16001;9999999;350;350;350;700;900;1100;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE_link_DK1;4001;5000;0;9999;200;200;200;700;900;1100;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE_link_DK1;4001;5000;10000;16000;200;200;200;700;900;1100;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE_link_DK1;4001;5000;16001;9999999;300;300;300;700;900;1100;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE_link_DK1;5001;6000;0;9999999;200;200;200;700;900;1100;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
DE_link_DK1;6001;7000;0;9999999;200;200;200;700;900;1100;2400;2400;2400;2400;2400;2400;2400;2400;2400;2400
DE_link_DK1;7001;8000;0;9999999;200;200;200;700;900;1100;2300;2300;2300;2300;2300;2300;2300;2300;2300;2300
DE_link_DK1;8001;9000;0;9999999;200;200;200;700;900;1100;1650;1650;1650;1650;1650;1650;1650;1650;1650;1650
DE_link_DK1;9001;10000;0;9999999;200;200;200;700;900;1100;1150;1150;1150;1150;1150;1150;1150;1150;1150;1150
DE_link_DK1;10001;99999;0;9999999;200;200;200;700;900;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100
DE_link_FR;0;7000;0;9999999;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800
DE_link_FR;7001;11000;0;9999999;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800
DE_link_FR;11001;14000;0;9999999;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800
DE_link_FR;14001;18000;0;9999999;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800
DE_link_FR;18001;99999;0;9999999;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800
DE_link_NL;0;7000;0;9999999;2449;2449;2449;2449;3949;4249;4249;4249;4249;4249;4249;4249;4249;4249;4249;4249
DE_link_NL;7001;11000;0;9999999;2187;2187;2187;2187;3687;3987;3987;3987;3987;3987;3987;3987;3987;3987;3987;3987
DE_link_NL;11001;14000;0;9999999;1927;1927;1927;1927;3427;3727;3727;3727;3727;3727;3727;3727;3727;3727;3727;3727
DE_link_NL;14001;18000;0;9999999;1665;1665;1665;1665;3165;3465;3465;3465;3465;3465;3465;3465;3465;3465;3465;3465
DE_link_NL;18001;99999;0;9999999;1468;1468;1468;1468;2968;3268;3268;3268;3268;3268;3268;3268;3268;3268;3268;3268
